target_id,domain,name_zh,name_en,aliases,total_publication_query,query,pubmed_total_count_20y,pubmed_retracted_count_20y,retraction_rate_percent,retractions_per_1000_publications,retrieved_pmids,error,last_checked
cla,口服/补剂,共轭亚油酸,Conjugated Linoleic Acid,conjugated linoleic acid; CLA,"(""conjugated linoleic acid""[Title] OR ""CLA""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""conjugated linoleic acid""[Title] OR ""CLA""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1092,0,0.000,0.00,,,2026-09-21
mct-oil,口服/补剂,MCT 油,MCT Oil,MCT oil; medium chain triglyceride; medium-chain triglyceride,"(""MCT oil""[Title] OR ""medium chain triglyceride""[Title] OR ""medium-chain triglyceride""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""MCT oil""[Title] OR ""medium chain triglyceride""[Title] OR ""medium-chain triglyceride""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",143,0,0.000,0.00,,,2026-09-21
sam-e,口服/补剂,SAM-e,S-Adenosylmethionine,S-adenosylmethionine; SAM-e,"(""S-adenosylmethionine""[Title] OR ""SAM-e""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""S-adenosylmethionine""[Title] OR ""SAM-e""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",197,0,0.000,0.00,,,2026-09-21
inositol,口服/补剂,肌醇,Inositol,Inositol,"(""Inositol""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Inositol""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",891,7,0.786,7.86,34919250;30132953;28980870;27736936;26507336;21835536;18854115,,2026-09-21
phosphatidylserine,口服/补剂,磷脂酰丝氨酸,Phosphatidylserine,Phosphatidylserine,"(""Phosphatidylserine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Phosphatidylserine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",253,0,0.000,0.00,,,2026-09-21
citicoline,口服/补剂,胞磷胆碱,Citicoline,Citicoline,"(""Citicoline""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Citicoline""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",120,0,0.000,0.00,,,2026-09-21
choline,口服/补剂,胆碱,Choline,Choline,"(""Choline""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Choline""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1905,1,0.052,0.52,31991181,,2026-09-21
l-theanine,口服/补剂,L-茶氨酸,L-Theanine,L-theanine; theanine,"(""L-theanine""[Title] OR ""theanine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""L-theanine""[Title] OR ""theanine""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",278,0,0.000,0.00,,,2026-09-21
tryptophan,口服/补剂,色氨酸,Tryptophan,Tryptophan,"(""Tryptophan""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Tryptophan""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1774,2,0.113,1.13,38655353;34122006,,2026-09-21
5-htp,口服/补剂,5-HTP,5-HTP,5-HTP; 5 hydroxytryptophan; 5-hydroxytryptophan,"(""5-HTP""[Title] OR ""5 hydroxytryptophan""[Title] OR ""5-hydroxytryptophan""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""5-HTP""[Title] OR ""5 hydroxytryptophan""[Title] OR ""5-hydroxytryptophan""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",94,1,1.064,10.64,19557117,,2026-09-21
valerian,口服/补剂,缬草,Valerian,Valerian,"(""Valerian""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Valerian""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",38,0,0.000,0.00,,,2026-09-21
skin-sunscreen,皮肤外用,防晒,Sunscreen,sunscreen; photoprotection; sun protection,"(""sunscreen""[Title] OR ""photoprotection""[Title] OR ""sun protection""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""sunscreen""[Title] OR ""photoprotection""[Title] OR ""sun protection""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",2702,1,0.037,0.37,30414837,,2026-09-21
skin-retinoids,皮肤外用,维A酸/视黄醇,Retinoids,retinoid; retinoids; retinol; tretinoin,"(""retinoid""[Title] OR ""retinoids""[Title] OR ""retinol""[Title] OR ""tretinoin""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""retinoid""[Title] OR ""retinoids""[Title] OR ""retinol""[Title] OR ""tretinoin""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1038,1,0.096,0.96,25565812,,2026-09-21
skin-niacinamide,皮肤外用,烟酰胺,Niacinamide,niacinamide; nicotinamide,"(""niacinamide""[Title] OR ""nicotinamide""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""niacinamide""[Title] OR ""nicotinamide""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",439,1,0.228,2.28,35342760,,2026-09-21
skin-topical-vitamin-c,皮肤外用,外用维C,Topical Vitamin C,vitamin C; ascorbic acid,"(""vitamin C""[Title] OR ""ascorbic acid""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""vitamin C""[Title] OR ""ascorbic acid""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",739,1,0.135,1.35,22033423,,2026-09-21
skin-hyaluronic-acid,皮肤外用,透明质酸,Hyaluronic Acid,hyaluronic acid; hyaluronan,"(""hyaluronic acid""[Title] OR ""hyaluronan""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""hyaluronic acid""[Title] OR ""hyaluronan""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",2953,9,0.305,3.05,36841387;35651502;33090687;33015440;32299553;30046611;25604697;25473210;25167809,,2026-09-21
skin-ceramides,皮肤外用,神经酰胺,Ceramides,ceramide; ceramides,"(""ceramide""[Title] OR ""ceramides""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""ceramide""[Title] OR ""ceramides""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",663,0,0.000,0.00,,,2026-09-21
skin-polyphenols,皮肤外用,多酚/抗氧化剂,Polyphenols,polyphenol; polyphenols; antioxidant,"(""polyphenol""[Title] OR ""polyphenols""[Title] OR ""antioxidant""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""polyphenol""[Title] OR ""polyphenols""[Title] OR ""antioxidant""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",7193,19,0.264,2.64,39169199;39101317;38720726;38173533;38169772;37517755;36805894;35728636;35669730;35468144;35222807;34941898;33574987;32869889;32841671;28856566;26111626;23870286;21887248,,2026-09-21
skin-energy-devices,皮肤外用,医美能量设备,Energy Devices,laser resurfacing; microneedling; chemical peel; radiofrequency,"(""laser resurfacing""[Title] OR ""microneedling""[Title] OR ""chemical peel""[Title] OR ""radiofrequency""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""laser resurfacing""[Title] OR ""microneedling""[Title] OR ""chemical peel""[Title] OR ""radiofrequency""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR sunscreen[Title/Abstract] OR barrier[Title/Abstract] OR cosmetic*[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",2009,5,0.249,2.49,38807440;38279602;36118840;26760033;23368685,,2026-09-21
skin-pdrn-polynucleotide,皮肤外用,PDRN/PN/Skin Booster,PDRN / Polynucleotide / Skin Booster,PDRN; polydeoxyribonucleotide; polydeoxyribonucleotides; polynucleotide; polynucleotides; polynucleotide filler; PN-HPT; skin booster; skin boosters,"(""PDRN""[Title] OR ""polydeoxyribonucleotide""[Title] OR ""polydeoxyribonucleotides""[Title] OR ""polynucleotide""[Title] OR ""polynucleotides""[Title] OR ""polynucleotide filler""[Title] OR ""PN-HPT""[Title] OR ""skin booster""[Title] OR ""skin boosters""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR cosmetic*[Title/Abstract] OR filler[Title/Abstract] OR aesthetic*[Title/Abstract] OR rejuvenation[Title/Abstract] OR booster[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""PDRN""[Title] OR ""polydeoxyribonucleotide""[Title] OR ""polydeoxyribonucleotides""[Title] OR ""polynucleotide""[Title] OR ""polynucleotides""[Title] OR ""polynucleotide filler""[Title] OR ""PN-HPT""[Title] OR ""skin booster""[Title] OR ""skin boosters""[Title]) AND (skin[Title/Abstract] OR dermatolog*[Title/Abstract] OR photoaging[Title/Abstract] OR wrinkle*[Title/Abstract] OR pigment*[Title/Abstract] OR topical[Title/Abstract] OR cosmetic*[Title/Abstract] OR filler[Title/Abstract] OR aesthetic*[Title/Abstract] OR rejuvenation[Title/Abstract] OR booster[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",168,4,2.381,23.81,39313949;38481069;34791770;25473210,,2026-09-21
antiaging-metformin,抗衰前沿,二甲双胍,Metformin,metformin,"(""metformin""[Title]) AND (aging[Title/Abstract] OR ageing[Title/Abstract] OR longevity[Title/Abstract] OR healthspan[Title/Abstract] OR lifespan[Title/Abstract] OR senescence[Title/Abstract] OR age-related[Title/Abstract] OR anti-aging[Title/Abstract] OR anti-ageing[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""metformin""[Title]) AND (aging[Title/Abstract] OR ageing[Title/Abstract] OR longevity[Title/Abstract] OR healthspan[Title/Abstract] OR lifespan[Title/Abstract] OR senescence[Title/Abstract] OR age-related[Title/Abstract] OR anti-aging[Title/Abstract] OR anti-ageing[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",704,2,0.284,2.84,35693701;34427659,,2026-09-21
antiaging-rapamycin,抗衰前沿,雷帕霉素/mTOR,Rapamycin,rapamycin; sirolimus; mTOR,"(""rapamycin""[Title] OR ""sirolimus""[Title] OR ""mTOR""[Title]) AND (aging[Title/Abstract] OR ageing[Title/Abstract] OR longevity[Title/Abstract] OR healthspan[Title/Abstract] OR lifespan[Title/Abstract] OR senescence[Title/Abstract] OR age-related[Title/Abstract] OR anti-aging[Title/Abstract] OR anti-ageing[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""rapamycin""[Title] OR ""sirolimus""[Title] OR ""mTOR""[Title]) AND (aging[Title/Abstract] OR ageing[Title/Abstract] OR longevity[Title/Abstract] OR healthspan[Title/Abstract] OR lifespan[Title/Abstract] OR senescence[Title/Abstract] OR age-related[Title/Abstract] OR anti-aging[Title/Abstract] OR anti-ageing[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1434,2,0.139,1.39,36799162;31298038,,2026-09-21
antiaging-senolytics,抗衰前沿,Senolytics,Senolytics,senolytic; senolytics; dasatinib; quercetin,"(""senolytic""[Title] OR ""senolytics""[Title] OR ""dasatinib""[Title] OR ""quercetin""[Title]) AND (aging[Title/Abstract] OR ageing[Title/Abstract] OR longevity[Title/Abstract] OR healthspan[Title/Abstract] OR lifespan[Title/Abstract] OR senescence[Title/Abstract] OR age-related[Title/Abstract] OR anti-aging[Title/Abstract] OR anti-ageing[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""senolytic""[Title] OR ""senolytics""[Title] OR ""dasatinib""[Title] OR ""quercetin""[Title]) AND (aging[Title/Abstract] OR ageing[Title/Abstract] OR longevity[Title/Abstract] OR healthspan[Title/Abstract] OR lifespan[Title/Abstract] OR senescence[Title/Abstract] OR age-related[Title/Abstract] OR anti-aging[Title/Abstract] OR anti-ageing[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",865,1,0.116,1.16,34873428,,2026-09-21
